"stud.id","name","gender","age","height","weight","religion","nc.score","semester","major","minor","score1","score2","online.tutorial","graduated","salary"
"1",833917,"Gonzales, Christina","Female",19,160,64.8,"Muslim",1.91,"1st","Political Science","Social Sciences",NA,NA,0,0,NA
"2",898539,"Lozano, T'Hani","Female",19,172,73,"Other",1.56,"2nd","Social Sciences","Mathematics and Statistics",NA,NA,0,0,NA
"3",379678,"Williams, Hanh","Female",22,168,70.6,"Protestant",1.24,"3rd","Social Sciences","Mathematics and Statistics",45,46,0,0,NA
"4",807564,"Nem, Denzel","Male",19,183,79.7,"Other",1.37,"2nd","Environmental Sciences","Mathematics and Statistics",NA,NA,0,0,NA
"5",383291,"Powell, Heather","Female",21,175,71.4,"Catholic",1.46,"1st","Environmental Sciences","Mathematics and Statistics",NA,NA,0,0,NA
"6",256074,"Perez, Jadrian","Male",19,189,85.8,"Catholic",1.34,"2nd","Political Science","Mathematics and Statistics",NA,NA,0,0,NA
"7",754591,"Clardy, Anita","Female",21,156,65.9,"Protestant",1.11,"2nd","Political Science","Social Sciences",NA,NA,0,0,NA
"8",146494,"Allen, Rebecca Marie","Female",21,167,65.7,"Other",2.03,"3rd","Political Science","Economics and Finance",58,62,0,0,NA
"9",723584,"Tracy, Robert","Male",18,195,94.4,"Other",1.29,"3rd","Economics and Finance","Environmental Sciences",57,67,0,0,NA
"10",314281,"Nimmons, Laura","Female",18,165,66,"Orthodox",1.19,"2nd","Environmental Sciences","Mathematics and Statistics",NA,NA,0,0,NA
"11",200803,"Lang, Mackenzie","Female",22,162,66.8,"Other",1.04,"4th","Economics and Finance","Environmental Sciences",62,61,1,1,45254.1080206875
"12",444907,"Rodriguez, Brianna","Female",18,172,66.8,"Other",3.81,"3rd","Environmental Sciences","Economics and Finance",76,82,0,0,NA
"13",354271,"Covar Orendain, Christopher","Male",23,185,84.6,"Orthodox",1,"4th","Environmental Sciences","Mathematics and Statistics",71,76,1,1,40552.790242531
"14",317812,"Lopez, Monique","Female",20,158,64.4,"Catholic",2.5,"6th","Environmental Sciences","Social Sciences",66,70,1,1,27007.0302942816
"15",604115,"Davis, Shagun","Female",19,157,66.3,"Orthodox",1.92,"2nd","Economics and Finance","Political Science",NA,NA,0,0,NA
"16",889551,"Adams, Jose","Male",20,172,73.9,"Other",3.61,"4th","Mathematics and Statistics","Political Science",87,91,1,0,NA
"17",350040,"Hines, Haileigh","Female",22,156,61.7,"Other",2.27,"6th","Political Science","Biology",57,54,0,1,33969.1592680493
"18",240279,"Daugherty, Jesus","Male",22,182,82.1,"Catholic",1.42,"1st","Economics and Finance","Environmental Sciences",NA,NA,0,0,NA
"19",865835,"Roybal, Ebony","Female",21,162,69.2,"Catholic",1.32,"3rd","Political Science","Environmental Sciences",69,46,1,0,NA
"20",137196,"Baysinger, Tanisha","Female",22,168,70.9,"Protestant",2.33,"2nd","Environmental Sciences","Political Science",NA,NA,0,0,NA
"21",708242,"Phillips, Laiba","Female",20,167,68.5,"Other",1.79,"4th","Biology","Economics and Finance",77,80,1,0,NA
"22",499002,"Culbertson, Deshawn","Male",37,175,70.4,"Protestant",1.97,"2nd","Political Science","Environmental Sciences",NA,NA,0,0,NA
"23",873149,"O Reilly, Joshua","Male",19,164,70.3,"Protestant",1.68,"2nd","Political Science","Environmental Sciences",NA,NA,0,0,NA
"24",807361,"Johnson, Stephanie","Female",38,155,67,"Catholic",2.3,"2nd","Environmental Sciences","Biology",NA,NA,0,0,NA
"25",531029,"Mix, Aziel","Male",23,183,81.8,"Catholic",2.11,"4th","Economics and Finance","Environmental Sciences",69,65,0,0,NA
"26",970589,"Gonzalez, Dixie","Female",26,145,54,"Other",1.14,"1st","Biology","Environmental Sciences",NA,NA,0,0,NA
"27",250298,"Clark, Janelle","Female",25,161,66.8,"Other",1.45,"3rd","Social Sciences","Economics and Finance",45,37,1,0,NA
"28",763393,"Woolsey, Bronson","Male",24,182,80.1,"Protestant",1.09,"5th","Economics and Finance","Social Sciences",61,73,1,1,50617.641869939
"29",544433,"Diawara, Erica","Female",54,169,71.4,"Protestant",1.75,"2nd","Political Science","Environmental Sciences",NA,NA,0,0,NA
"30",252935,"Lord, Benjamin","Male",22,172,69.6,"Protestant",3.94,"3rd","Mathematics and Statistics","Social Sciences",89,90,1,0,NA
"31",453762,"Cordova, Justin","Male",23,172,73,"Protestant",1.26,"1st","Economics and Finance","Mathematics and Statistics",NA,NA,0,0,NA
"32",759365,"Hayes, Vamshi","Male",19,192,88.9,"Other",1.19,"3rd","Social Sciences","Mathematics and Statistics",44,36,0,0,NA
"33",662678,"French, Sidney","Male",22,175,72.6,"Protestant",3.03,"4th","Economics and Finance","Biology",65,70,1,0,NA
